iter	RMSE
0	516.4944768
1	495.8723602
2	474.6373473
3	454.9031082
4	436.0095776
5	417.9584062
6	400.3361936
7	384.6361642
8	368.7063942
9	354.4868514
10	339.8321999
11	326.4190701
12	314.6191473
13	303.6412696
14	292.2843275
15	281.2081647
16	270.6071978
17	261.6182407
18	252.619854
19	243.7732048
20	234.4204941
21	226.6100299
22	219.7532396
23	212.0324065
24	204.9995275
25	198.1957541
26	191.7298375
27	185.3081205
28	179.4103616
29	173.9239603
30	168.4877767
31	163.8440391
32	159.0351412
33	154.9988153
34	150.4406463
35	146.4215836
36	142.9080446
37	139.2789624
38	135.9582624
39	132.9004782
40	129.5626347
41	126.8036973
42	123.771722
43	121.1756214
44	118.7440195
45	116.7754795
46	114.4616126
47	112.0350099
48	109.6046352
49	107.4942575
50	105.6350716
51	103.9168213
52	101.9477493
53	100.2174884
54	98.78923119
55	97.37579821
56	95.80528264
57	94.72946468
58	93.48459385
59	92.25632696
60	91.28109806
61	90.07985811
62	89.01805617
63	88.11085325
64	87.03031171
65	85.90153867
66	85.12260033
67	84.10223831
68	83.27244599
69	82.66002855
70	81.88034553
71	81.12030645
72	80.52386991
73	79.93504392
74	79.14356926
75	78.54347364
76	78.08428014
77	77.59637597
78	77.08477783
79	76.67218368
80	76.18283413
81	75.67829966
82	75.03770735
83	74.49301491
84	73.99078132
85	73.45241802
86	73.10977173
87	72.81879194
88	72.36797647
89	71.92752663
90	71.69194286
91	71.32766959
92	71.00369979
93	70.74811624
94	70.37762502
95	69.96705128
96	69.55204827
97	69.12024764
98	68.88544749
99	68.57314915
100	68.34045067
101	68.12052261
102	67.82421812
103	67.52891518
104	67.25226046
105	66.87818184
106	66.39552104
107	66.22016192
108	65.93580846
109	65.52147237
110	65.24622872
111	64.93491945
112	64.65395512
113	64.36366014
114	64.08974921
115	63.83641552
116	63.58066971
117	63.37586046
118	63.06890893
119	62.82154836
120	62.54190344
121	62.17367311
122	61.83173461
123	61.62469828
124	61.28019239
125	60.98600771
126	60.82257325
127	60.44036676
128	60.18560176
129	60.06212284
130	59.78379812
131	59.56646952
132	59.31662141
133	59.18782232
134	59.05286906
135	58.76865584
136	58.58168212
137	58.37566887
138	58.10618819
139	57.89416644
140	57.62814176
141	57.34827254
142	57.11771112
143	56.96374974
144	56.61093724
145	56.35249348
146	56.10209257
147	55.91670913
148	55.73096601
149	55.47914291
150	55.24234728
151	55.08491904
152	54.84241488
153	54.55731042
154	54.22800754
155	54.11444669
156	53.86222317
157	53.65204334
158	53.47977205
159	53.36029928
160	53.10352383
161	52.79878922
162	52.62633359
163	52.40703927
164	52.21005112
165	52.12780441
166	51.88979163
167	51.79835536
168	51.49694262
169	51.16347281
170	50.90997428
171	50.714785
172	50.61714345
173	50.41159889
174	50.24105448
175	50.00505625
176	49.79604163
177	49.63612494
178	49.46587366
179	49.32522144
180	49.21431472
181	48.9652546
182	48.75532384
183	48.49932909
184	48.21213679
185	48.04831125
186	47.92030978
