iter	Passed	Remaining
0	2	2175
1	3	1966
2	5	1956
3	8	2009
4	10	2042
5	12	2011
6	13	1959
7	15	1929
8	17	1910
9	19	1897
10	21	1915
11	23	1929
12	25	1914
13	26	1896
14	28	1887
15	30	1876
16	32	1867
17	34	1875
18	36	1869
19	38	1875
20	40	1868
21	41	1860
22	43	1854
23	45	1847
24	47	1864
25	49	1860
26	51	1861
27	53	1862
28	55	1856
29	57	1850
30	59	1850
31	60	1844
32	62	1836
33	64	1831
34	66	1826
35	68	1827
36	70	1824
37	72	1829
38	74	1824
39	75	1816
40	77	1815
41	79	1812
42	81	1805
43	83	1812
44	85	1823
45	88	1827
46	90	1829
47	92	1824
48	93	1817
49	95	1808
50	96	1804
51	99	1807
52	101	1808
53	103	1811
54	105	1810
55	106	1802
56	108	1795
57	110	1796
58	112	1798
59	114	1792
60	116	1786
61	117	1780
62	119	1776
63	121	1770
64	123	1771
65	124	1767
66	126	1765
67	128	1763
68	130	1757
69	131	1751
70	133	1746
71	135	1742
72	137	1743
73	138	1738
74	140	1732
75	142	1732
76	144	1727
77	145	1723
78	147	1719
79	149	1721
80	151	1722
81	153	1720
82	155	1716
83	157	1716
84	159	1712
85	160	1709
86	162	1709
87	164	1705
88	166	1700
89	167	1696
90	169	1691
91	171	1690
92	173	1687
93	175	1687
94	176	1684
95	178	1680
96	180	1679
97	181	1674
98	183	1670
99	185	1666
100	187	1669
101	189	1669
102	191	1665
103	192	1662
104	194	1659
105	196	1655
106	197	1651
107	199	1651
108	202	1651
109	203	1649
110	205	1646
111	207	1642
112	208	1638
113	210	1634
114	212	1631
115	213	1629
116	215	1628
117	217	1628
118	219	1625
119	221	1621
120	222	1618
121	224	1615
122	226	1616
123	228	1614
124	230	1613
125	232	1612
126	234	1608
127	235	1605
128	237	1604
129	239	1604
130	241	1601
131	243	1598
132	244	1594
133	246	1593
134	248	1590
135	249	1588
136	252	1588
137	253	1586
138	255	1583
139	257	1580
140	258	1576
141	260	1574
142	262	1574
143	265	1576
144	267	1575
145	268	1573
146	270	1570
147	272	1567
148	273	1563
149	275	1562
150	277	1562
151	279	1559
152	281	1557
153	283	1554
154	284	1552
155	286	1548
156	287	1545
157	290	1546
158	292	1545
159	293	1542
160	295	1539
161	297	1537
162	298	1534
163	300	1531
164	302	1531
165	304	1529
166	306	1527
167	308	1525
168	309	1522
169	311	1519
170	312	1516
171	314	1516
172	316	1513
173	318	1511
174	319	1508
175	321	1507
176	323	1504
177	325	1502
178	327	1500
179	328	1497
180	330	1495
181	332	1492
182	333	1489
183	335	1486
184	337	1485
185	339	1485
186	341	1485
